1	ANNUAL TUNE-UP
2	ANNUAL VACUUM
3	ADDED ANTI-FREEZE
4	ADDED FREON
5	AFTER HOURS SERVICE CALL
6	AIR
7	AIR CONDITIONER
8	AIR FILTERS[S]
9	AQUASTAT
10	AIR VENT
11	AUTOMATIC FEEDER
12	BAFFLE[S]
13	POWER VENT MOTOR
14	BLAST TUBE
15	BOILER DRAIN CAP
16	BLOWER
17	BLOWER BEARING[S]
18	BLOWER BELT
19	BLOWER FAN
20	BLOWER MOTOR
21	BLOWER PULLEY
22	BLOWER SHAFT
23	BOILER
24	BOILER DRAIN
25	BOILER JACKET
26	CIRCULATOR FLANGES
27	BURNER
28	BURNER COUPLING
29	BURNER FAN
30	BURNER MOTOR
31	BUSS BARS
32	CAD CELL EYE ONLY
33	CAD CELL COMPLETE ASSY
34	CAD CELL RELAY
35	CALL CANCELLED
36	CHECK VALVE
37	CHIMNEY BASE
38	CIRCUIT BREAKER
39	CIRCULATOR
40	CIRCULATOR BEARING ASSY
41	CIRCULATOR COUPLING
42	CIRC. FLANGE GASKETS
43	CIRCULATOR MOTOR
44	CIRC. MOTOR MOUNTS
45	DIGITAL THERMOSTAT
46	COIL NEEDS CLEANING
47	COMBUSTION CHAMBER
48	CONDENSATE PUMP
49	CONDENSATE LINE
50	CONDENSOR
51	A/C CONTRACTOR
52	CONTROL[S]
53	CUSTOMER'S PART
54	CUSTOMER WILL REPAIR
55	DELAYED OIL VALVE
56	DRAFT
57	DRAFT INDUCER
58	DRAFT REGULATOR
59	DUAL FEEDER
60	DRYER
61	DUCTWORK
62	EFFICIENCY TEST
63	ELECTRICIAN NEEDED
64	ELECTRODES
65	ELECTRONIC AIR CLEANER
66	OUT OF FUEL
67	END CONE
68	EVAPORATOR COIL
69	OIL SOAKED
70	EXCESS WATER
71	EXPANSION TANK
72	CARBON
73	EXPLAIN OPERATION
74	FAN
75	FAN & LIMIT CONTROL
76	FAN SWITCH
77	GAUGE
78	FEED VALVE
79	FEED VALVE STRAINER
80	FILL CAP
81	LOCK PROPANE TANK
82	FILLTROL TANK
83	FILTER
84	FIROMATIC VALVE
85	FITTING[S]
86	FLOODED BASEMENT
87	FLOW VALVE
88	FLUSH LOW WATER CUT-OFF
